FEN,stockfish_score
2r3k1/pp2bppp/4pn2/3pB3/7P/1P1QNNP1/q3PPB1/5rK1 w - - 0 20,-1.33
2r3k1/pp2bppp/4pn2/3pB3/7P/1P1QNNP1/q3PP2/5BK1 b - - 0 20,-0.95
2r3k1/pp2bppp/4p3/3pB3/4n2P/1P1QNNP1/q3PP2/5BK1 w - - 1 21,-1.71
2r3k1/pp2bppp/4p3/1Q1pB3/4n2P/1P2NNP1/q3PP2/5BK1 b - - 2 21,-1.38
6k1/pp2bppp/4p3/1Q1pB3/4n2P/1P2NNP1/q3PP2/2r2BK1 w - - 3 22,0.0
4Q1k1/pp2bppp/4p3/3pB3/4n2P/1P2NNP1/q3PP2/2r2BK1 b - - 4 22,-0.08
4Qbk1/pp3ppp/4p3/3pB3/4n2P/1P2NNP1/q3PP2/2r2BK1 w - - 5 23,0.0
4Qbk1/pp3ppp/4p3/3pB1N1/4n2P/1P2N1P1/q3PP2/2r2BK1 b - - 6 23,-0.38
4Qbk1/pp3ppp/4p3/3pB1n1/7P/1P2N1P1/q3PP2/2r2BK1 w - - 0 24,-0.22
4Qbk1/pp3ppp/3Bp3/3p2n1/7P/1P2N1P1/q3PP2/2r2BK1 b - - 1 24,-1.88
4Qbk1/pp3ppp/3Bp3/3p4/7P/1P2N1Pn/q3PP2/2r2BK1 w - - 2 25,0.97
4Qbk1/pp3ppp/3Bp3/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 3 25,3.74
4Qbk1/pp3pp1/3Bp2p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 0 26,3.48
5Qk1/pp3pp1/3Bp2p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 0 26,3.91
5Q2/pp3ppk/3Bp2p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 1 27,3.48
5Q2/pp3ppk/4p2p/3pB3/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 2 27,2.19
5Q2/pp4pk/4pp1p/3pB3/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 0 28,2.36
5Q2/pp4pk/4pB1p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 0 28,3.48
5Q2/pp5k/4pp1p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 0 29,4.41
8/pp3Q1k/4pp1p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 1 29,4.88
7k/pp3Q2/4pp1p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 2 30,4.41
7k/pp6/4pQ1p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 0 30,4.88
8/pp5k/4pQ1p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 1 31,5.95
8/pp3Q1k/4p2p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 b - - 2 31,5.13
7k/pp3Q2/4p2p/3p4/7P/1P2N1Pn/q3PP1K/2r2B2 w - - 3 32,4.66
7k/pp3Q2/4p2p/3p4/7P/1P2N1PB/q3PP1K/2r5 b - - 0 32,4.78
7k/pp3Q2/4p2p/3p4/7P/1P2N1PB/4qP1K/2r5 w - - 0 33,4.65
7k/pp6/4pQ1p/3p4/7P/1P2N1PB/4qP1K/2r5 b - - 1 33,4.86
8/pp5k/4pQ1p/3p4/7P/1P2N1PB/4qP1K/2r5 w - - 2 34,6.46
8/pp3Q1k/4p2p/3p4/7P/1P2N1PB/4qP1K/2r5 b - - 3 34,5.11
7k/pp3Q2/4p2p/3p4/7P/1P2N1PB/4qP1K/2r5 w - - 4 35,4.65
7k/pp3Q2/4B2p/3p4/7P/1P2N1P1/4qP1K/2r5 b - - 0 35,3.02
7k/pp3Q2/4B2p/3p4/7P/1P2N1P1/4qP1K/7r w - - 1 36,3.08
7k/pp3Q2/4B2p/3p4/7P/1P2N1P1/4qP2/7K b - - 0 36,4.23
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0.3
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.52
rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,0.69
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,0.51
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,0.56
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,0.43
rnbqkb1r/ppp2ppp/3p1n2/4P3/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,0.21
rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,0.0
rnbQkb1r/ppp2ppp/5n2/4p3/4P3/2N5/PPP2PPP/R1B1KBNR b KQkq - 0 5,0.21
rnbk1b1r/ppp2ppp/5n2/4p3/4P3/2N5/PPP2PPP/R1B1KBNR w KQ - 0 6,0.04
rnbk1b1r/ppp2ppp/5n2/4p3/2B1P3/2N5/PPP2PPP/R1B1K1NR b KQ - 1 6,0.26
rn1k1b1r/ppp2ppp/4bn2/4p3/2B1P3/2N5/PPP2PPP/R1B1K1NR w KQ - 2 7,0.17
