FEN,stockfish_score
rnbq1rk1/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 3 5,0.21
rnbq1rk1/ppppppbp/5np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQ - 0 5,0.52
rnbq1rk1/pp1pppbp/5np1/2p5/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 0 6,0.43
rnbq1rk1/pp1pppbp/5np1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQ - 0 6,0.52
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 0 7,0.21
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQ - 0 7,0.64
rnbq1rk1/p3ppbp/3p1np1/1ppP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R w KQ - 0 8,0.99
rnbq1rk1/p3ppbp/3p1np1/1PpP4/4P3/2N2N1P/PP3PP1/R1BQKB1R b KQ - 0 8,0.87
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/2N2N1P/PP3PP1/R1BQKB1R w KQ - 0 9,0.95
rnbq1rk1/4ppbp/p2p1np1/1PpP4/P3P3/2N2N1P/1P3PP1/R1BQKB1R b KQ - 0 9,1.42
rn1q1rk1/1b2ppbp/p2p1np1/1PpP4/P3P3/2N2N1P/1P3PP1/R1BQKB1R w KQ - 1 10,1.07
rn1q1rk1/1b2ppbp/p2p1np1/1PpP2B1/P3P3/2N2N1P/1P3PP1/R2QKB1R b KQ - 2 10,1.42
rn1q1rk1/1b2ppb1/p2p1npp/1PpP2B1/P3P3/2N2N1P/1P3PP1/R2QKB1R w KQ - 0 11,1.16
rn1q1rk1/1b2ppb1/p2p1npp/1PpP4/P3P2B/2N2N1P/1P3PP1/R2QKB1R b KQ - 1 11,0.81
r2q1rk1/1b1nppb1/p2p1npp/1PpP4/P3P2B/2N2N1P/1P3PP1/R2QKB1R w KQ - 2 12,0.65
r2q1rk1/1b1nppb1/p2p1npp/1PpP4/P1B1P2B/2N2N1P/1P3PP1/R2QK2R b KQ - 3 12,1.02
r2q1rk1/1b2ppb1/pn1p1npp/1PpP4/P1B1P2B/2N2N1P/1P3PP1/R2QK2R w KQ - 4 13,0.74
r2q1rk1/1b2ppb1/pn1p1npp/1PpP4/P3P2B/2NB1N1P/1P3PP1/R2QK2R b KQ - 5 13,1.08
r2q1rk1/1b2ppb1/pn1p1npp/1P1P4/P1p1P2B/2NB1N1P/1P3PP1/R2QK2R w KQ - 0 14,0.65
r2q1rk1/1b2ppb1/pn1p1npp/1P1P4/P1p1P2B/2N2N1P/1PB2PP1/R2QK2R b KQ - 1 14,0.95
r2q1rk1/1b1nppb1/p2p1npp/1P1P4/P1p1P2B/2N2N1P/1PB2PP1/R2QK2R w KQ - 2 15,1.21
r2q1rk1/1b1nppb1/p2p1npp/1P1P4/P1p1P2B/2N2N1P/1PB2PP1/R2Q1RK1 b - - 3 15,1.55
r2q1rk1/1b2ppb1/p2p1npp/1PnP4/P1p1P2B/2N2N1P/1PB2PP1/R2Q1RK1 w - - 4 16,1.81
r2q1rk1/1b2ppb1/p2p1npp/1PnP4/P1pNP2B/2N4P/1PB2PP1/R2Q1RK1 b - - 5 16,1.68
r2q1rk1/1b1nppb1/p2p2pp/1PnP4/P1pNP2B/2N4P/1PB2PP1/R2Q1RK1 w - - 6 17,2.33
r2q1rk1/1b1nppb1/p2p2pp/1PnP4/P1pNPP1B/2N4P/1PB3P1/R2Q1RK1 b - - 0 17,2.03
r2q1rk1/1b2ppb1/p2p1npp/1PnP4/P1pNPP1B/2N4P/1PB3P1/R2Q1RK1 w - - 1 18,2.55
r2q1rk1/1b2ppb1/p1Np1npp/1PnP4/P1p1PP1B/2N4P/1PB3P1/R2Q1RK1 b - - 2 18,3.11
r2q1rk1/4ppb1/p1bp1npp/1PnP4/P1p1PP1B/2N4P/1PB3P1/R2Q1RK1 w - - 0 19,2.54
r2q1rk1/4ppb1/p1Pp1npp/2nP4/P1p1PP1B/2N4P/1PB3P1/R2Q1RK1 b - - 0 19,2.92
r4rk1/4ppb1/pqPp1npp/2nP4/P1p1PP1B/2N4P/1PB3P1/R2Q1RK1 w - - 1 20,2.6
r4rk1/4ppb1/pqPp1npp/2nP4/P1p1PP1B/2N4P/1PB3P1/R2Q1R1K b - - 2 20,2.72
r4rk1/4ppb1/p1Pp1npp/2nP4/P1p1PP1B/2N4P/1qB3P1/R2Q1R1K w - - 0 21,2.4
r4rk1/4ppb1/p1Pp1npp/2nP4/P1p1PP1B/2N2R1P/1qB3P1/R2Q3K b - - 1 21,0.86
r4rk1/4ppb1/p1Pp2pp/2nP4/P1p1nP1B/2N2R1P/1qB3P1/R2Q3K w - - 0 22,1.42
r4rk1/4ppb1/p1Pp2pp/2nP4/P1p1NP1B/5R1P/1qB3P1/R2Q3K b - - 0 22,2.24
r4rk1/4ppb1/p1Pp2pp/3P4/P1p1nP1B/5R1P/1qB3P1/R2Q3K w - - 0 23,1.68
r4rk1/4ppb1/p1Pp2pp/3P4/P1p1BP1B/5R1P/1q4P1/R2Q3K b - - 0 23,-0.34
r4rk1/4ppb1/p1Pp2pp/3P4/P1p1BP1B/5R1P/6P1/q2Q3K w - - 0 24,-0.64
r4rk1/4ppb1/p1Pp2pp/3P4/P1p1BP1B/5R1P/6P1/Q6K b - - 0 24,-0.34
r4rk1/4pp2/p1Pp2pp/3P4/P1p1BP1B/5R1P/6P1/b6K w - - 0 25,-0.64
r4rk1/4pp2/p1Pp2pp/3P4/P1p1BP1B/2R4P/6P1/b6K b - - 1 25,-4.43
r4rk1/4pp2/p1Pp2pp/3P4/P1p1BP1B/2b4P/6P1/7K w - - 0 26,-4.86
r4rk1/4pp2/p1Pp2pp/3P1P2/P1p1B2B/2b4P/6P1/7K b - - 0 26,-5.33
r4rk1/4pp2/p1Pp3p/3P1Pp1/P1p1B2B/2b4P/6P1/7K w - - 0 27,-5.48
r4rk1/4pp2/p1Pp3p/3P1Pp1/P1p1B3/2b3BP/6P1/7K b - - 1 27,-5.79
r4rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p1B3/6BP/6P1/7K w - - 2 28,-5.12
r4rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p5/6BP/2B3P1/7K b - - 3 28,-6.65
1r3rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p5/6BP/2B3P1/7K w - - 4 29,-4.23
1r3rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p5/6BP/2B3P1/6K1 b - - 5 29,-6.94
5rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p5/6BP/1rB3P1/6K1 w - - 6 30,-6.39
5rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p5/7P/1rB2BP1/6K1 b - - 7 30,-7.32
5rk1/4pp2/p1Pp1b1p/3P1Pp1/P1p5/7P/2r2BP1/6K1 w - - 0 31,-8.09
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0.0
rnbqkb1r/pppppppp/5n2/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 1 2,0.0
rnbqkb1r/pppppppp/5n2/8/8/3P4/PPPBPPPP/RN1QKBNR b KQkq - 2 2,-0.26
rnbqkb1r/ppp1pppp/5n2/3p4/8/3P4/PPPBPPPP/RN1QKBNR w KQkq - 0 3,-0.3
rnbqkb1r/ppp1pppp/5n2/3p4/8/2NP4/PPPBPPPP/R2QKBNR b KQkq - 1 3,-0.69
rnbqkb1r/pp2pppp/5n2/2pp4/8/2NP4/PPPBPPPP/R2QKBNR w KQkq - 0 4,-0.52
rnbqkb1r/pp2pppp/5n2/2pp4/8/2NPP3/PPPB1PPP/R2QKBNR b KQkq - 0 4,-0.34
rnbqkb1r/pp2pp1p/5np1/2pp4/8/2NPP3/PPPB1PPP/R2QKBNR w KQkq - 0 5,-0.52
rnbqkb1r/pp2pp1p/5np1/2pp4/8/3PP3/PPPBNPPP/R2QKBNR b KQkq - 1 5,-0.65
rnbqkb1r/pp3p1p/5np1/2ppp3/8/3PP3/PPPBNPPP/R2QKBNR w KQkq - 0 6,-0.99
rnbqkb1r/pp3p1p/5np1/2ppp3/8/3PPN2/PPPBNPPP/R2QKB1R b KQkq - 1 6,-0.77
r1bqkb1r/pp3p1p/2n2np1/2ppp3/8/3PPN2/PPPBNPPP/R2QKB1R w KQkq - 2 7,-1.39
r1bqkb1r/pp3p1p/2n2np1/2ppp3/8/3PPNN1/PPPB1PPP/R2QKB1R b KQkq - 3 7,-1.13
r1bqk2r/pp3pbp/2n2np1/2ppp3/8/3PPNN1/PPPB1PPP/R2QKB1R w KQkq - 4 8,-1.31
r1bqk2r/pp3pbp/2n2np1/2ppp3/8/3PPNN1/PPPBBPPP/R2QK2R b KQkq - 5 8,-0.91
r1bqk2r/pp3pb1/2n2np1/2ppp2p/8/3PPNN1/PPPBBPPP/R2QK2R w KQkq - 0 9,-1.52
r1bqk2r/pp3pb1/2n2np1/2ppp2p/7P/3PPNN1/PPPBBPP1/R2QK2R b KQkq - 0 9,-1.2
r2qk2r/pp1b1pb1/2n2np1/2ppp2p/7P/3PPNN1/PPPBBPP1/R2QK2R w KQkq - 1 10,-1.34
r2qk2r/pp1b1pb1/2n2np1/2ppp1Np/7P/3PP1N1/PPPBBPP1/R2QK2R b KQkq - 2 10,-0.9
1r1qk2r/pp1b1pb1/2n2np1/2ppp1Np/7P/3PP1N1/PPPBBPP1/R2QK2R w KQk - 3 11,-0.78
1r1qk2r/pp1b1pb1/2n2np1/2ppp1Np/5P1P/3PP1N1/PPPBB1P1/R2QK2R b KQk - 0 11,-1.69
1r1q1rk1/pp1b1pb1/2n2np1/2ppp1Np/5P1P/3PP1N1/PPPBB1P1/R2QK2R w KQ - 1 12,-1.6
1r1q1rk1/pp1b1pb1/2n2np1/2ppp1Np/5P1P/3PP1N1/PPPBB1P1/R2Q1RK1 b - - 2 12,-1.51
1r1q1rk1/pp3pb1/2n2np1/2ppp1Np/5PbP/3PP1N1/PPPBB1P1/R2Q1RK1 w - - 3 13,-0.73
1r1q1rk1/pp3pb1/2n2np1/2ppp1Np/5PbP/3PP1N1/PPPBBRP1/R2Q2K1 b - - 4 13,-1.21
1r1q1rk1/pp3pb1/2n2np1/2ppp1Np/5P1P/3PP1N1/PPPBbRP1/R2Q2K1 w - - 0 14,-1.17
1r1q1rk1/pp3pb1/2n2np1/2ppp1Np/5P1P/3PP1N1/PPPBQRP1/R5K1 b - - 0 14,-1.29
1r1q1rk1/pp3pb1/2n2np1/2pp2Np/5p1P/3PP1N1/PPPBQRP1/R5K1 w - - 0 15,-1.17
1r1q1rk1/pp3pb1/2n2np1/2pp2Np/5R1P/3PP1N1/PPPBQ1P1/R5K1 b - - 0 15,-0.77
1r1q1rk1/pp3pb1/5np1/2ppn1Np/5R1P/3PP1N1/PPPBQ1P1/R5K1 w - - 1 16,-0.69
1r1q1rk1/pp3pb1/5np1/2ppn1Np/5R1P/3PP1N1/PPPBQ1P1/5RK1 b - - 2 16,-0.38
1r3rk1/ppq2pb1/5np1/2ppn1Np/5R1P/3PP1N1/PPPBQ1P1/5RK1 w - - 3 17,0.0
1r3rk1/ppq2pb1/5np1/2ppn1Np/4PR1P/3P2N1/PPPBQ1P1/5RK1 b - - 0 17,-0.18
4rrk1/ppq2pb1/5np1/2ppn1Np/4PR1P/3P2N1/PPPBQ1P1/5RK1 w - - 1 18,-0.04
4rrk1/ppq2pb1/5np1/2ppn1Np/4PR1P/3P2N1/PPPB2P1/3Q1RK1 b - - 2 18,-1.19
4rrk1/ppq2pb1/5np1/2p1n1Np/4pR1P/3P2N1/PPPB2P1/3Q1RK1 w - - 0 19,-0.65
4rrk1/ppq2pb1/5np1/2p1n1Np/4NR1P/3P4/PPPB2P1/3Q1RK1 b - - 0 19,-0.82
4rrk1/ppq2pb1/6p1/2p1n1Np/4NRnP/3P4/PPPB2P1/3Q1RK1 w - - 1 20,-1.58
4rrk1/ppq2pb1/5Np1/2p1n1Np/5RnP/3P4/PPPB2P1/3Q1RK1 b - - 2 20,-2.93
4rrk1/ppq2pb1/5np1/2p1n1Np/5R1P/3P4/PPPB2P1/3Q1RK1 w - - 0 21,-3.23
4rrk1/ppq2pb1/5Rp1/2p1n1Np/7P/3P4/PPPB2P1/3Q1RK1 b - - 0 21,-2.93
4rrk1/ppq2p2/5bp1/2p1n1Np/7P/3P4/PPPB2P1/3Q1RK1 w - - 0 22,-3.23
4rrk1/ppq2p2/5Rp1/2p1n1Np/7P/3P4/PPPB2P1/3Q2K1 b - - 0 22,-4.07
4rrk1/ppq2p2/5Rp1/2p3Np/6nP/3P4/PPPB2P1/3Q2K1 w - - 1 23,-3.01
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,0.18
rnbqkbnr/pppp1ppp/4p3/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,0.17
rnbqkbnr/pppp1ppp/4p3/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,0.13
rnbqkbnr/ppp2ppp/3pp3/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,0.05
rnbqkbnr/ppp2ppp/3pp3/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,0.34
rnbqkbnr/ppp3pp/3ppp2/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,0.95
rnbqkbnr/ppp3pp/3ppp2/8/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 1 4,0.9
rnbqkbnr/pp4pp/2pppp2/8/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 5,0.82
rnbqkbnr/pp4pp/2pppp2/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 5,1.21
rnbqkbnr/pp5p/2ppppp1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq - 0 6,1.52
rnbqkbnr/pp5p/2ppppp1/8/3PP3/5NP1/PPP2PBP/RNBQ1RK1 b kq - 0 6,1.93
rnbqkb1r/pp5p/2pppppn/8/3PP3/5NP1/PPP2PBP/RNBQ1RK1 w kq - 1 7,1.6
rnbqkb1r/pp5p/2pppppn/8/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 b kq - 2 7,1.66
rnbqkb1r/pp3n1p/2ppppp1/8/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 w kq - 3 8,1.34
rnbqkb1r/pp3n1p/2ppppp1/8/3PP3/2N1BNP1/PPP2PBP/R2Q1RK1 b kq - 4 8,1.35
rnbqk2r/pp3nbp/2ppppp1/8/3PP3/2N1BNP1/PPP2PBP/R2Q1RK1 w kq - 5 9,0.73
rnbqk2r/pp3nbp/2ppppp1/8/3PP3/2N1BNP1/PPPQ1PBP/R4RK1 b kq - 6 9,1.04
rnbqk2r/p4nbp/1pppppp1/8/3PP3/2N1BNP1/PPPQ1PBP/R4RK1 w kq - 0 10,0.95
rnbqk2r/p4nbp/1pppppp1/8/3PP3/2N1BNP1/PPPQ1PBP/3R1RK1 b kq - 1 10,1.15
rnbq1rk1/p4nbp/1pppppp1/8/3PP3/2N1BNP1/PPPQ1PBP/3R1RK1 w - - 2 11,0.82
rnbq1rk1/p4nbp/1pppppp1/8/3PP3/2N1BNP1/PPPQ1PBP/3RR1K1 b - - 3 11,1.1
rn1q1rk1/pb3nbp/1pppppp1/8/3PP3/2N1BNP1/PPPQ1PBP/3RR1K1 w - - 4 12,0.99
rn1q1rk1/pb3nbp/1ppppppB/8/3PP3/2N2NP1/PPPQ1PBP/3RR1K1 b - - 5 12,-5.01
rn1q1rk1/pb3n1p/1ppppppb/8/3PP3/2N2NP1/PPPQ1PBP/3RR1K1 w - - 0 13,-5.84
rn1q1rk1/pb3n1p/1ppppppb/8/3PP3/2N2NP1/PPP1QPBP/3RR1K1 b - - 1 13,-5.09
rn1q1rk1/pb3nbp/1pppppp1/8/3PP3/2N2NP1/PPP1QPBP/3RR1K1 w - - 2 14,-5.19
rn1q1rk1/pb3nbp/1pppppp1/4P3/3P4/2N2NP1/PPP1QPBP/3RR1K1 b - - 0 14,-4.66
rn3rk1/pbq2nbp/1pppppp1/4P3/3P4/2N2NP1/PPP1QPBP/3RR1K1 w - - 1 15,-2.89
rn3rk1/pbq2nbp/1pppppp1/4P3/P2P4/2N2NP1/1PP1QPBP/3RR1K1 b - - 0 15,-4.54
r4rk1/pbqn1nbp/1pppppp1/4P3/P2P4/2N2NP1/1PP1QPBP/3RR1K1 w - - 1 16,-3.54
r4rk1/pbqn1nbp/1ppPppp1/8/P2P4/2N2NP1/1PP1QPBP/3RR1K1 b - - 0 16,-2.93
r4rk1/pbqn2bp/1ppnppp1/8/P2P4/2N2NP1/1PP1QPBP/3RR1K1 w - - 0 17,-2.92
r4rk1/pbqn2bp/1ppnppp1/8/P2P4/5NP1/1PP1QPBP/1N1RR1K1 b - - 1 17,-5.22
4rrk1/pbqn2bp/1ppnppp1/8/P2P4/5NP1/1PP1QPBP/1N1RR1K1 w - - 2 18,-5.61
4rrk1/pbqn2bp/1ppnppp1/8/P1PP4/5NP1/1P2QPBP/1N1RR1K1 b - - 0 18,-5.69
4rrk1/pbqn1nbp/1pp1ppp1/8/P1PP4/5NP1/1P2QPBP/1N1RR1K1 w - - 1 19,-5.83
4rrk1/pbqn1nbp/1pp1ppp1/8/P1PP4/2N2NP1/1P2QPBP/3RR1K1 b - - 2 19,-5.09
1q2rrk1/pb1n1nbp/1pp1ppp1/8/P1PP4/2N2NP1/1P2QPBP/3RR1K1 w - - 3 20,-5.39
1q2rrk1/pb1n1nbp/1pp1ppp1/8/P1PP4/2N2NP1/1PQ2PBP/3RR1K1 b - - 4 20,-5.35
q3rrk1/pb1n1nbp/1pp1ppp1/8/P1PP4/2N2NP1/1PQ2PBP/3RR1K1 w - - 5 21,-5.14
q3rrk1/pb1n1nbp/1pp1ppp1/P7/2PP4/2N2NP1/1PQ2PBP/3RR1K1 b - - 0 21,-4.49
q3rrk1/pb1n1nbp/1p2ppp1/P1p5/2PP4/2N2NP1/1PQ2PBP/3RR1K1 w - - 0 22,-4.96
q3rrk1/pb1n1nbp/1p2ppp1/P1pP4/2P5/2N2NP1/1PQ2PBP/3RR1K1 b - - 0 22,-3.88
q3rrk1/pb1n1nbp/1p3pp1/P1pPp3/2P5/2N2NP1/1PQ2PBP/3RR1K1 w - - 0 23,-4.18
q3rrk1/pb1n1nbp/1p3pp1/P1pPp3/2P5/2N3P1/1PQN1PBP/3RR1K1 b - - 1 23,-4.57
q3rrk1/pb1n1nbp/5pp1/p1pPp3/2P5/2N3P1/1PQN1PBP/3RR1K1 w - - 0 24,-2.62
q3rrk1/pb1n1nbp/5pp1/pNpPp3/2P5/6P1/1PQN1PBP/3RR1K1 b - - 1 24,-2.91
1q2rrk1/pb1n1nbp/5pp1/pNpPp3/2P5/6P1/1PQN1PBP/3RR1K1 w - - 2 25,-3.62
1q2rrk1/pb1n1nbp/5pp1/pNpPp3/2P5/1N4P1/1PQ2PBP/3RR1K1 b - - 3 25,-3.53
1q2rrk1/1b1n1nbp/p4pp1/pNpPp3/2P5/1N4P1/1PQ2PBP/3RR1K1 w - - 0 26,-4.68
1q2rrk1/1b1n1nbp/p4pp1/p1pPp3/2P5/1NN3P1/1PQ2PBP/3RR1K1 b - - 1 26,-3.8
3qrrk1/1b1n1nbp/p4pp1/p1pPp3/2P5/1NN3P1/1PQ2PBP/3RR1K1 w - - 2 27,-3.84
3qrrk1/1b1n1nbp/p4pp1/p1pPp3/2P5/1NN3P1/1PQ2PBP/R3R1K1 b - - 3 27,-3.93
3qrrk1/1b1n2bp/p2n1pp1/p1pPp3/2P5/1NN3P1/1PQ2PBP/R3R1K1 w - - 4 28,-3.71
3qrrk1/1b1n2bp/p2n1pp1/N1pPp3/2P5/2N3P1/1PQ2PBP/R3R1K1 b - - 0 28,-3.01
3qrrk1/1b4bp/pn1n1pp1/N1pPp3/2P5/2N3P1/1PQ2PBP/R3R1K1 w - - 1 29,-2.33
3qrrk1/1b4bp/pn1n1pp1/N1pPp3/2P5/1PN3P1/2Q2PBP/R3R1K1 b - - 0 29,-2.83
3qrrk1/1b4bp/pn1n2p1/N1pPpp2/2P5/1PN3P1/2Q2PBP/R3R1K1 w - - 0 30,-3.19
3qrrk1/1b4bp/pn1n2p1/N1pPpp2/2P4P/1PN3P1/2Q2PB1/R3R1K1 b - - 0 30,-4.48
b2qrrk1/6bp/pn1n2p1/N1pPpp2/2P4P/1PN3P1/2Q2PB1/R3R1K1 w - - 1 31,-3.71
b2qrrk1/6bp/pn1n2p1/N1pPpp2/N1P4P/1P4P1/2Q2PB1/R3R1K1 b - - 2 31,-4.89
b2qrrk1/6bp/pn1n2p1/N1pP1p2/N1P1p2P/1P4P1/2Q2PB1/R3R1K1 w - - 0 32,-3.97
b2qrrk1/6bp/pn1n2p1/N1NP1p2/2P1p2P/1P4P1/2Q2PB1/R3R1K1 b - - 0 32,-3.27
b2qrrk1/7p/pn1n2p1/N1NP1p2/2P1p2P/1P4P1/2Q2PB1/b3R1K1 w - - 0 33,-2.96
b2qrrk1/7p/pn1n2p1/N1NP1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 b - - 0 33,-2.84
b2qrrk1/3n3p/p2n2p1/N1NP1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 w - - 1 34,-1.58
b2qrrk1/3n3p/N2n2p1/N2P1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 b - - 0 34,-4.16
b1q1rrk1/3n3p/N2n2p1/N2P1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 w - - 1 35,-3.45
b1q1rrk1/3n3p/3n2p1/N2P1p2/1NP1p2P/1P4P1/2Q2PB1/R5K1 b - - 2 35,-3.91
b1q1rrk1/7p/1n1n2p1/N2P1p2/1NP1p2P/1P4P1/2Q2PB1/R5K1 w - - 3 36,-1.42
b1q1rrk1/7p/1nNn2p1/N2P1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 b - - 4 36,-2.07
2q1rrk1/7p/1nbn2p1/N2P1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 w - - 0 37,-3.43
2q1rrk1/7p/1nNn2p1/3P1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 b - - 0 37,-2.92
2q1rrk1/1n5p/1nN3p1/3P1p2/2P1p2P/1P4P1/2Q2PB1/R5K1 w - - 1 38,-2.32
2q1rrk1/Rn5p/1nN3p1/3P1p2/2P1p2P/1P4P1/2Q2PB1/6K1 b - - 2 38,-2.37
2q1r1k1/Rn5p/1nN2rp1/3P1p2/2P1p2P/1P4P1/2Q2PB1/6K1 w - - 3 39,-0.86
2q1r1k1/Rn5p/1nN2rp1/3P1p2/2P1p2P/1P4P1/1Q3PB1/6K1 b - - 4 39,-1.85
2q1r1k1/Rn1n3p/2N2rp1/3P1p2/2P1p2P/1P4P1/1Q3PB1/6K1 w - - 5 40,-1.8
2q1r1k1/Rn1n3p/2N2rp1/3P1p2/2P1p2P/1P4P1/1Q3PBK/8 b - - 6 40,-2.66
2q1r1k1/Rn5p/2N2rp1/2nP1p2/2P1p2P/1P4P1/1Q3PBK/8 w - - 7 41,4.48
2q1r1k1/Rn5p/2N2rp1/2nP1p2/2PQp2P/1P4P1/5PBK/8 b - - 8 41,-1.85
2q1r1k1/Rn5p/2N2rp1/3P1p2/2PQp2P/1P1n2P1/5PBK/8 w - - 9 42,2.33
2q1r1k1/Rn5p/2N2Qp1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 b - - 0 42,2.62
2q2rk1/Rn2Q2p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 b - - 2 43,3.91
4qrk1/Rn2Q2p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 w - - 3 44,4.77
4qrk1/RQ5p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 b - - 0 44,5.11
4q1k1/RQ3r1p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 w - - 1 45,4.98
4q1k1/R4Q1p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 b - - 0 45,4.62
6k1/R4q1p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 w - - 0 46,5.49
6k1/5R1p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 b - - 0 46,4.5
8/5k1p/2N3p1/3P1p2/2P1p2P/1P1n2P1/5PBK/8 w - - 0 47,4.69
8/5k1p/2NP2p1/5p2/2P1p2P/1P1n2P1/5PBK/8 b - - 0 47,4.82
8/5k1p/2NP2p1/5p2/2P4P/1P1np1P1/5PBK/8 w - - 0 48,6.29
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0.21
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,0.04
rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 2,0.17
rnbqkb1r/pp1ppppp/5n2/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,0.18
rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,0.26
rnbqkb1r/p2ppppp/5n2/1ppP4/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 4,0.6
rnbqkb1r/p2ppppp/5n2/1ppP2B1/8/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 4,0.35
rnbqkb1r/p2ppppp/8/1ppP2B1/4n3/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 5,0.26
rnbqkb1r/p2ppppp/8/1ppP4/4n2B/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 5,0.42
rnbqkb1r/p3pppp/3p4/1ppP4/4n2B/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 6,0.47
rnbqkb1r/p3pppp/3p4/1ppP4/4n2B/5N2/PPPNPPPP/R2QKB1R b KQkq - 1 6,0.82
rnbqkb1r/p3pppp/3p4/1ppP4/7B/5N2/PPPnPPPP/R2QKB1R w KQkq - 0 7,0.43
rnbqkb1r/p3pppp/3p4/1ppP4/7B/5N2/PPPQPPPP/R3KB1R b KQkq - 0 7,0.51
r1bqkb1r/p2npppp/3p4/1ppP4/7B/5N2/PPPQPPPP/R3KB1R w KQkq - 1 8,0.61
r1bqkb1r/p2npppp/3p4/1ppP4/4P2B/5N2/PPPQ1PPP/R3KB1R b KQkq - 0 8,0.82
r1bqkb1r/p2npppp/3p4/2pP4/1p2P2B/5N2/PPPQ1PPP/R3KB1R w KQkq - 0 9,1.04
r1bqkb1r/p2npppp/3p4/2pP4/1p2P2B/P4N2/1PPQ1PPP/R3KB1R b KQkq - 0 9,1.56
r1b1kb1r/p2npppp/1q1p4/2pP4/1p2P2B/P4N2/1PPQ1PPP/R3KB1R w KQkq - 1 10,1.17
r1b1kb1r/p2npppp/1q1p4/2pP4/1P2P2B/5N2/1PPQ1PPP/R3KB1R b KQkq - 0 10,1.64
r1b1kb1r/p2npppp/3p4/2pP4/1q2P2B/5N2/1PPQ1PPP/R3KB1R w KQkq - 0 11,1.25
r1b1kb1r/p2npppp/3p4/2pP4/1Q2P2B/5N2/1PP2PPP/R3KB1R b KQkq - 0 11,1.63
r1b1kb1r/p2npppp/3p4/3P4/1p2P2B/5N2/1PP2PPP/R3KB1R w KQkq - 0 12,1.24
