timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743903390.6474197,24,10/23,9/5,,,8/15,11/8,1/2,6/4,1/2,7/5,8/15,29/20,,,4/7,11/8,4/9,17/10,1/2,6/4,8/15,6/4,6/25,11/4,2/5,7/4,7/20,39/20,1/2,13/8,1/2,13/8,1/2,6/4,4/9,13/8,1/2,6/4,1/2,31/20,4/7,11/8,8/15,7/5,,,,,1/2,13/8,2/5,9/5,1/6,11/8
1743903468.1904726,25,1/2,8/5,,,4/9,13/8,1/2,6/4,4/9,6/4,40/85,13/8,,,4/7,11/8,4/9,17/10,1/2,6/4,10/21,17/10,21/50,17/10,2/5,7/4,12/25,6/4,2/5,15/8,4/9,7/4,1/2,6/4,4/9,17/10,4/9,8/5,10/21,33/20,1/2,6/4,1/2,6/4,,,,,2/5,47/25,2/5,7/5,1/6,7/5
1743903534.3052666,26,1/2,8/5,,,6/5,8/13,4/9,13/8,4/7,5/4,6/5,13/20,,,4/7,11/8,13/25,31/20,4/7,5/4,20/29,6/5,21/50,17/10,10/11,4/5,12/25,6/4,10/11,17/20,1/2,13/8,4/6,11/10,13/25,6/4,6/5,8/13,10/21,33/20,13/20,6/5,4/7,13/10,,,,,10/11,17/20,1/100,1/100,1/6,7/5
1743903573.2387094,27,7/5,10/17,,,6/5,8/13,1,8/11,21/20,4/6,6/5,13/20,,,4/7,11/8,13/25,31/20,11/10,5/4,20/29,6/5,21/50,17/10,10/11,4/5,12/25,6/4,10/11,17/20,1/2,13/8,4/6,11/10,23/20,13/20,6/5,8/13,5/4,5/8,13/20,6/5,11/10,4/6,,,,,10/11,17/20,4/9,4/7,1/6,7/5
1743903602.9553723,28,7/5,10/17,,,6/5,8/13,1,8/11,21/20,4/6,6/5,13/20,,,4/7,8/15,6/5,4/6,11/10,4/6,23/20,7/10,11/25,17/10,10/11,4/5,23/20,6/4,10/11,17/20,1/2,13/8,11/10,4/6,11/10,4/6,6/5,8/13,5/4,5/8,7/5,11/20,11/10,4/6,,,,,10/11,17/20,8/15,7/5,1/6,4/7
1743903634.0132294,29,7/5,10/17,,,6/5,8/13,1,8/11,21/20,4/6,6/5,13/20,,,4/7,8/15,6/5,4/6,11/10,4/6,23/20,7/10,11/25,17/10,10/11,4/5,23/20,6/4,10/11,17/20,1/2,13/8,11/10,4/6,11/10,4/6,6/5,8/13,5/4,5/8,7/5,11/20,11/10,4/6,,,,,10/11,17/20,8/15,7/5,1/6,4/7
1743903663.3576164,30,4/6,6/5,,,8/13,6/5,8/11,1,4/6,21/20,13/20,6/5,,,11/20,7/5,4/6,6/5,4/6,11/10,7/10,23/20,16/25,21/50,4/5,10/11,8/13,23/20,17/20,10/11,13/8,1/2,4/6,11/10,4/6,11/10,8/13,6/5,5/8,5/4,11/20,7/5,4/6,11/10,,,,,17/20,10/11,7/5,13/10,4/7,1/6
1743903693.7060823,31,4/6,6/5,,,8/13,6/5,8/11,1,4/6,21/20,13/20,6/5,,,11/20,7/5,4/6,6/5,4/6,11/10,7/10,23/20,16/25,21/50,4/5,10/11,8/13,23/20,17/20,10/11,13/8,1/2,4/6,11/10,4/6,11/10,8/13,6/5,5/8,5/4,11/20,7/5,4/6,11/10,,,,,17/20,10/11,7/5,13/10,4/7,1/6
1743903788.7679484,32,4/6,6/5,,,3/10,23/10,4/11,2,7/10,1,1/3,9/4,,,8/15,29/20,4/6,59/50,8/11,1,10/13,21/20,16/25,57/50,10/11,11/8,8/13,23/20,17/20,10/11,13/8,1/2,4/6,11/10,13/20,6/5,4/15,13/5,5/8,6/5,11/20,7/5,1/5,21/20,,,,,17/20,10/11,4/7,10/9,4/7,1/6
1743903818.4467506,33,4/6,6/5,,,3/10,23/10,4/11,2,7/10,1,1/3,9/4,,,8/15,29/20,4/6,59/50,8/11,1,10/13,21/20,16/25,57/50,10/11,11/8,8/13,23/20,17/20,10/11,13/8,1/2,4/6,11/10,13/20,6/5,4/15,13/5,5/8,6/5,11/20,7/5,1/5,21/20,,,,,17/20,10/11,4/7,10/9,4/7,1/6
