timestamp,num,B3 - Toronto Blue Jays,B3 - New York Mets,SK - Toronto Blue Jays,SK - New York Mets,PP - Toronto Blue Jays,PP - New York Mets,WH - Toronto Blue Jays,WH - New York Mets,EE - Toronto Blue Jays,EE - New York Mets,FB - Toronto Blue Jays,FB - New York Mets,VC - Toronto Blue Jays,VC - New York Mets,LD - Toronto Blue Jays,LD - New York Mets,UN - Toronto Blue Jays,UN - New York Mets,SX - Toronto Blue Jays,SX - New York Mets,FR - Toronto Blue Jays,FR - New York Mets,KN - Toronto Blue Jays,KN - New York Mets,BY - Toronto Blue Jays,BY - New York Mets,OE - Toronto Blue Jays,OE - New York Mets,S6 - Toronto Blue Jays,S6 - New York Mets,PUP - Toronto Blue Jays,PUP - New York Mets,SI - Toronto Blue Jays,SI - New York Mets,LS - Toronto Blue Jays,LS - New York Mets,QN - Toronto Blue Jays,QN - New York Mets,WA - Toronto Blue Jays,WA - New York Mets,CE - Toronto Blue Jays,CE - New York Mets,N4 - Toronto Blue Jays,N4 - New York Mets,G5 - Toronto Blue Jays,G5 - New York Mets,VT - Toronto Blue Jays,VT - New York Mets,AKB - Toronto Blue Jays,AKB - New York Mets,BF - Toronto Blue Jays,BF - New York Mets,MA - Toronto Blue Jays,MA - New York Mets
1743903102.8967927,25,2/7,13/5,,,1/8,9/2,2/13,15/4,1/10,19/4,1/5,10/3,,,1/9,5,8/25,12/5,1/9,5,2/15,5,3/10,9/4,1/14,13/2,2/11,16/5,3/10,5/2,1/3,9/4,1/10,11/2,6/25,14/5,1/10,5,1/8,5,1/9,5,1/9,5,,,,,3/10,5/2,2/13,7/2,1/6,451/100
1743903132.6687837,26,2/7,13/5,,,1/9,5,2/13,15/4,1/10,19/4,1/8,5,,,1/9,5,8/25,12/5,1/9,5,2/15,5,3/10,9/4,1/14,6,2/11,16/5,3/10,5/2,1/3,9/4,1/10,11/2,6/25,14/5,1/10,5,1/8,5,1/9,5,1/9,5,,,,,3/10,5/2,1/8,49/10,1/6,451/100
1743903161.590814,27,2/7,13/5,,,1/9,5,2/13,15/4,1/10,19/4,1/8,5,,,1/9,5,8/25,12/5,1/9,5,2/15,5,3/10,9/4,1/14,6,2/11,16/5,3/10,5/2,1/3,9/4,1/10,11/2,6/25,14/5,1/10,5,1/8,5,1/9,5,1/9,5,,,,,3/10,5/2,1/8,49/10,1/6,451/100
1743903279.9673157,28,2/7,13/5,,,1/8,9/2,1/6,7/2,1/8,41/10,1/7,9/2,,,1/8,19/4,1/10,11/2,1/8,9/2,2/15,5,1/10,24/5,1/8,5,1/10,19/4,3/10,5/2,2/13,4,1/8,9/2,1/9,23/5,1/8,9/2,1/8,5,1/8,19/4,1/8,9/2,,,,,3/10,5/2,2/15,421/100,1/8,451/100
1743903340.1584053,29,1/7,9/2,,,1/8,9/2,1/6,7/2,1/8,41/10,1/7,9/2,,,1/8,19/4,1/10,11/2,1/8,9/2,2/15,5,1/10,24/5,1/8,5,1/10,19/4,2/13,4,2/13,4,1/8,9/2,1/9,23/5,1/7,9/2,1/7,9/2,1/8,19/4,1/8,9/2,,,,,2/13,4,1/8,421/100,1/8,451/100
1743903397.616281,30,1/7,9/2,,,1/7,4,1/5,10/3,1/8,41/10,1/6,4,,,1/8,19/4,1/9,5,1/8,9/2,2/13,9/2,1/9,22/5,1/7,9/2,1/8,17/4,2/13,4,2/13,4,1/8,9/2,1/8,9/2,1/7,17/4,1/7,9/2,1/8,19/4,1/7,4,,,,,2/13,4,2/13,7/2,1/8,7/2
1743903461.4214935,31,2/13,17/4,,,1/7,4,1/5,10/3,1/8,41/10,1/6,4,,,2/13,17/4,2/15,23/5,1/7,4,2/13,9/2,1/9,22/5,1/7,9/2,1/8,17/4,2/13,4,2/13,4,1/7,4,2/15,17/4,1/7,4,1/7,9/2,1/6,4,1/7,4,,,,,2/13,4,1/8,421/100,1/8,7/2
1743903529.3790128,32,2/13,17/4,,,1/7,4,1/5,10/3,1/8,41/10,1/6,4,,,1/6,4,2/15,23/5,1/7,4,2/13,9/2,1/9,22/5,1/7,9/2,1/8,17/4,1/6,4,2/13,4,1/7,4,2/15,17/4,1/7,4,1/7,9/2,1/6,4,1/7,4,,,,,1/6,4,2/13,7/2,1/8,7/2
1743903594.0297,33,2/13,17/4,,,1/7,4,1/5,10/3,1/8,41/10,1/6,4,,,1/6,4,2/15,23/5,1/7,4,2/13,9/2,1/8,21/5,1/7,9/2,1/8,17/4,1/6,4,1/6,4,1/7,4,2/15,17/4,1/7,4,1/7,9/2,1/6,4,1/7,4,,,,,1/6,4,2/13,19/10,1/8,7/2
1743903625.7305284,34,2/13,17/4,,,1/4,27/10,1/5,10/3,1/7,15/4,1/4,14/5,,,2/11,19/5,2/15,23/5,2/9,7/2,1/6,4,1/9,22/5,1/5,5/2,2/15,4,2/11,7/2,1/5,7/2,2/9,3,1/5,3,2/9,3,1/7,4,2/11,18/5,1/6,15/4,,,,,2/11,7/2,2/9,19/10,1/8,7/2
